contribution_id,member_id,amount,date
C000234,M00047,15000,2024-05-08
C000235,M00047,20000,2023-07-05
C000236,M00047,10000,2023-12-21
C000237,M00047,20000,2023-07-29
C000238,M00047,20000,2024-03-22
C000239,M00048,15000,2023-05-17
C000240,M00048,20000,2023-07-03
C000241,M00048,20000,2023-10-14
C000242,M00049,10000,2023-03-14
C000243,M00049,10000,2023-12-26
C000244,M00049,15000,2023-07-30
C000245,M00049,5000,2023-06-01
C000246,M00050,10000,2023-12-17
C000247,M00050,15000,2023-05-20
C000248,M00050,15000,2023-05-12
C000249,M00050,20000,2023-07-02
C000250,M00050,10000,2023-05-09
C000251,M00050,5000,2024-01-13
C000252,M00051,10000,2023-05-23
C000253,M00051,10000,2023-09-07
C000254,M00051,5000,2023-10-29
C000255,M00051,5000,2023-03-11
C000256,M00051,20000,2023-04-22
C000257,M00052,15000,2024-05-17
C000258,M00052,5000,2023-07-11
C000259,M00052,5000,2023-08-25
C000260,M00052,5000,2023-11-07
C000261,M00052,15000,2023-02-25
C000262,M00052,10000,2023-08-25
C000263,M00052,5000,2023-07-16
C000264,M00052,5000,2024-05-28
C000265,M00052,20000,2023-12-26
C000266,M00053,15000,2024-04-01
C000267,M00053,10000,2024-05-09
C000268,M00053,15000,2023-09-04
C000269,M00053,10000,2024-03-14
C000270,M00053,5000,2023-04-21
C000271,M00053,10000,2023-07-10
C000272,M00053,5000,2024-03-01
C000273,M00053,5000,2023-12-01
C000274,M00054,5000,2023-06-15
C000275,M00054,10000,2024-05-10
C000276,M00054,10000,2024-03-04
C000277,M00054,10000,2023-06-12
C000278,M00055,10000,2023-03-01
C000279,M00055,5000,2024-02-11
C000280,M00055,15000,2023-01-26
C000281,M00055,10000,2023-01-05
C000282,M00055,10000,2024-06-15
C000283,M00056,20000,2024-01-19
C000284,M00056,15000,2024-02-03
C000285,M00056,15000,2024-05-05
C000286,M00056,5000,2024-02-23
C000287,M00056,15000,2024-02-23
C000288,M00057,5000,2024-01-16
C000289,M00057,15000,2023-11-23
C000290,M00057,5000,2023-02-19
C000291,M00057,20000,2023-12-21
C000292,M00058,20000,2023-07-06
C000293,M00058,20000,2023-07-09
C000294,M00058,10000,2024-03-04
C000295,M00058,20000,2023-10-11
C000296,M00058,10000,2023-08-25
C000297,M00059,20000,2023-11-09
C000298,M00059,10000,2024-04-02
C000299,M00059,5000,2023-07-16
C000300,M00059,20000,2024-02-27
C000301,M00059,10000,2023-06-20
C000302,M00059,15000,2023-06-22
C000303,M00059,10000,2024-03-28
C000304,M00059,20000,2024-05-08
C000305,M00059,5000,2023-01-04
C000306,M00060,15000,2024-03-22
C000307,M00060,15000,2023-04-16
C000308,M00060,20000,2024-02-05
C000309,M00060,15000,2024-01-23
C000310,M00060,5000,2024-03-27
C000311,M00060,10000,2024-02-20
C000312,M00060,10000,2024-05-18
C000313,M00061,5000,2024-05-29
C000314,M00061,20000,2023-11-12
C000315,M00061,5000,2023-09-27
C000316,M00061,5000,2024-06-13
C000317,M00062,15000,2023-05-05
C000318,M00062,15000,2023-03-10
C000319,M00063,10000,2024-05-08
C000320,M00063,15000,2024-01-10
C000321,M00063,10000,2023-01-25
C000322,M00063,20000,2023-12-21
C000323,M00063,10000,2023-02-17
C000324,M00063,15000,2023-04-09
C000325,M00063,5000,2024-06-06
C000326,M00064,20000,2023-11-27
C000327,M00064,15000,2023-08-29
C000328,M00064,15000,2024-06-13
C000329,M00064,10000,2023-07-06
C000330,M00064,5000,2023-09-19
C000331,M00064,15000,2023-12-30
C000332,M00064,15000,2024-03-06
C000333,M00065,15000,2023-10-10
C000334,M00065,15000,2023-03-13
C000335,M00065,5000,2023-01-12
C000336,M00065,15000,2023-01-17
C000337,M00066,20000,2023-06-24
C000338,M00066,10000,2024-02-04
C000339,M00066,5000,2023-03-12
C000340,M00066,20000,2023-06-29
C000341,M00067,15000,2023-06-14
C000342,M00067,20000,2023-11-07
C000343,M00067,20000,2023-10-12
C000344,M00067,10000,2023-10-08
C000345,M00067,10000,2023-06-13
C000346,M00067,20000,2023-08-12
C000347,M00068,20000,2023-08-09
C000348,M00068,20000,2024-06-17
C000349,M00068,20000,2024-01-02
C000350,M00068,15000,2023-04-26
C000351,M00068,5000,2023-12-01
C000352,M00069,10000,2023-10-05
C000353,M00069,10000,2023-10-27
C000354,M00069,20000,2023-05-15
C000355,M00070,20000,2023-11-12
C000356,M00070,20000,2023-05-24
C000357,M00070,15000,2023-10-29
C000358,M00070,15000,2023-09-02
C000359,M00070,20000,2023-04-17
C000360,M00070,15000,2023-05-09
C000361,M00070,20000,2023-12-07
C000362,M00070,10000,2023-11-23
C000363,M00070,20000,2023-11-02
C000364,M00071,10000,2024-01-21
C000365,M00071,15000,2023-04-18
C000366,M00071,15000,2024-02-14
C000367,M00071,10000,2023-10-23
C000368,M00072,5000,2023-04-06
C000369,M00072,10000,2024-03-19
C000370,M00072,10000,2023-12-27
C000371,M00072,5000,2023-10-30
C000372,M00072,20000,2023-09-03
C000373,M00072,10000,2023-08-25
C000374,M00072,20000,2023-07-04
C000375,M00072,15000,2023-12-29
C000376,M00072,10000,2023-12-02
C000377,M00073,10000,2023-07-20
C000378,M00073,10000,2024-05-19
C000379,M00073,20000,2023-02-08
C000380,M00074,5000,2023-10-07
C000381,M00074,10000,2023-05-08
C000382,M00074,10000,2023-11-28
C000383,M00074,20000,2024-03-29
C000384,M00074,10000,2024-02-24
C000385,M00074,15000,2023-07-25
C000386,M00074,20000,2023-12-22
C000387,M00074,5000,2023-04-06
C000388,M00074,20000,2023-06-13
C000389,M00075,20000,2023-05-03
C000390,M00075,5000,2024-03-27
C000391,M00076,20000,2024-01-31
C000392,M00076,5000,2023-12-03
C000393,M00077,15000,2023-04-19
C000394,M00077,15000,2024-01-07
C000395,M00077,15000,2023-07-25
C000396,M00077,5000,2023-02-12
C000397,M00077,15000,2023-09-02
C000398,M00078,20000,2023-09-08
C000399,M00078,5000,2023-10-18
C000400,M00078,5000,2023-07-20
C000401,M00079,15000,2023-03-13
C000402,M00079,15000,2023-12-10
C000403,M00079,10000,2023-02-23
C000404,M00079,15000,2024-06-11
C000405,M00080,15000,2023-04-22
C000406,M00080,20000,2023-05-11
C000407,M00080,20000,2024-04-19
C000408,M00080,20000,2023-07-23
C000409,M00080,5000,2023-10-03
C000410,M00080,10000,2023-08-31
C000411,M00080,15000,2023-04-12
C000412,M00081,20000,2023-03-27
C000413,M00081,15000,2023-02-21
C000414,M00082,15000,2023-01-26
C000415,M00082,5000,2023-10-26
C000416,M00082,20000,2023-05-17
C000417,M00082,15000,2024-03-15
C000418,M00082,20000,2024-03-10
C000419,M00083,15000,2023-02-11
C000420,M00083,10000,2024-06-06
C000421,M00084,20000,2023-08-20
C000422,M00084,20000,2024-03-18
C000423,M00084,15000,2024-01-11
C000424,M00084,15000,2023-09-24
C000425,M00084,20000,2023-11-13
C000426,M00085,5000,2023-09-26
C000427,M00085,10000,2024-01-16
C000428,M00085,10000,2023-04-26
C000429,M00085,15000,2023-09-17
C000430,M00085,5000,2024-04-24
C000431,M00086,10000,2023-11-09
C000432,M00086,5000,2023-02-23
C000433,M00086,5000,2024-04-11
C000434,M00086,10000,2023-06-13
C000435,M00086,15000,2023-11-30
C000436,M00086,5000,2023-12-14
C000437,M00087,15000,2023-08-05
C000438,M00087,10000,2023-12-24
C000439,M00087,15000,2024-05-21
C000440,M00087,20000,2023-06-30
C000441,M00088,10000,2023-06-18
C000442,M00088,15000,2024-03-16
C000443,M00088,5000,2024-05-10
C000444,M00088,10000,2023-11-02
C000445,M00088,20000,2024-05-27
C000446,M00089,15000,2024-05-27
C000447,M00089,10000,2024-04-22
C000448,M00089,5000,2024-04-01
C000449,M00089,20000,2023-10-18
C000450,M00090,10000,2024-01-12
C000451,M00090,20000,2023-06-05
C000452,M00090,20000,2024-02-17
C000453,M00090,15000,2023-12-21
C000454,M00091,15000,2023-10-05
C000455,M00091,20000,2023-03-07
C000456,M00091,10000,2023-09-25
C000457,M00091,10000,2024-06-13
C000458,M00091,15000,2023-09-12
C000459,M00091,5000,2023-09-10
C000460,M00091,10000,2024-01-18
C000461,M00092,10000,2023-02-02
C000462,M00092,20000,2023-08-17
C000463,M00092,15000,2023-06-04
C000464,M00092,5000,2023-09-03
C000465,M00092,15000,2023-06-10
C000466,M00092,15000,2023-04-27
C000467,M00092,5000,2024-05-01
C000468,M00092,10000,2023-06-21
C000469,M00093,15000,2024-01-13
C000470,M00093,5000,2023-07-15
C000471,M00093,5000,2023-04-08
C000472,M00093,10000,2023-01-22
C000473,M00093,15000,2023-06-21
C000474,M00094,10000,2023-09-22
C000475,M00094,10000,2024-03-04
C000476,M00094,5000,2024-02-20
C000477,M00094,10000,2023-07-16
C000478,M00094,20000,2023-02-22
C000479,M00094,10000,2024-03-18
C000480,M00094,15000,2023-09-08
C000481,M00094,15000,2023-05-03
C000482,M00095,5000,2023-10-21
C000483,M00095,15000,2023-12-15
C000484,M00095,20000,2023-03-08
C000485,M00095,15000,2024-06-03
C000486,M00096,5000,2024-03-26
C000487,M00096,15000,2023-05-16
C000488,M00097,15000,2023-11-23
C000489,M00097,5000,2023-08-14
C000490,M00097,5000,2024-02-12
C000491,M00097,5000,2024-03-03
C000492,M00098,10000,2023-06-20
C000493,M00098,5000,2024-03-02
C000494,M00098,10000,2024-06-13
C000495,M00098,15000,2023-05-21
C000496,M00098,20000,2023-11-11
C000497,M00098,5000,2023-11-15
C000498,M00098,15000,2023-04-02
C000499,M00098,15000,2023-02-25
C000500,M00098,5000,2023-04-21
C000501,M00099,10000,2023-09-06
C000502,M00099,10000,2023-11-19
C000503,M00100,10000,2023-04-28
C000504,M00100,10000,2024-01-02
C000505,M00100,10000,2023-03-07
C000506,M00100,15000,2024-01-05
C000507,M00100,5000,2024-05-09
C000508,M00101,5000,2023-08-21
C000509,M00101,10000,2024-03-15
C000510,M00101,10000,2023-10-02
C000511,M00101,15000,2023-03-17
C000512,M00101,15000,2023-10-16
C000513,M00101,15000,2024-06-23
C000514,M00101,10000,2023-09-10
C000515,M00102,20000,2024-04-27
C000516,M00102,5000,2023-10-21
C000517,M00103,15000,2024-03-14
C000518,M00103,5000,2023-08-02
C000519,M00103,5000,2023-03-26
C000520,M00103,5000,2024-05-03
C000521,M00103,15000,2023-03-05
C000522,M00103,10000,2023-12-18
C000523,M00104,20000,2024-04-10
C000524,M00104,20000,2023-10-30
C000525,M00104,10000,2024-03-10
C000526,M00104,10000,2023-05-15
C000527,M00104,20000,2024-03-07
C000528,M00105,15000,2023-06-26
C000529,M00105,10000,2023-04-11
C000530,M00105,20000,2024-02-05
C000531,M00105,10000,2024-06-20
C000532,M00105,5000,2024-05-12
C000533,M00105,15000,2023-05-14
C000534,M00106,15000,2023-06-17
C000535,M00106,5000,2024-05-17
C000536,M00107,10000,2023-02-04
C000537,M00107,20000,2023-01-01
C000538,M00107,5000,2023-06-02
C000539,M00107,10000,2024-05-22
C000540,M00108,10000,2024-03-14
C000541,M00108,5000,2023-12-11
C000542,M00108,10000,2023-02-14
C000543,M00108,10000,2023-01-21
C000544,M00108,20000,2023-03-11
C000545,M00108,15000,2023-02-17
C000546,M00108,10000,2023-10-14
C000547,M00108,10000,2023-01-10
C000548,M00108,20000,2023-10-01
C000549,M00109,15000,2024-04-23
C000550,M00110,15000,2023-03-10
C000551,M00110,20000,2023-09-18
C000552,M00110,10000,2023-03-20
C000553,M00110,20000,2024-06-08
C000554,M00110,5000,2023-11-26
C000555,M00111,10000,2024-06-04
C000556,M00111,15000,2023-04-27
C000557,M00111,5000,2024-04-29
C000558,M00112,5000,2023-09-25
C000559,M00113,5000,2024-05-01
C000560,M00113,5000,2023-05-31
C000561,M00113,10000,2023-07-25
C000562,M00113,5000,2023-06-28
C000563,M00113,15000,2023-03-30
C000564,M00114,10000,2023-04-09
C000565,M00114,5000,2023-07-11
C000566,M00114,10000,2024-04-11
C000567,M00114,10000,2024-01-02
C000568,M00114,20000,2023-05-24
C000569,M00114,5000,2023-08-04
C000570,M00115,15000,2023-05-24
C000571,M00115,15000,2023-08-20
C000572,M00115,15000,2024-05-14
C000573,M00115,15000,2023-09-30
C000574,M00115,5000,2023-06-22
C000575,M00115,15000,2023-01-07
C000576,M00115,10000,2024-06-05
C000577,M00116,15000,2023-06-01
C000578,M00116,15000,2024-06-21
C000579,M00116,10000,2023-04-25
C000580,M00116,20000,2024-04-26
C000581,M00116,10000,2023-03-16
C000582,M00118,15000,2023-11-24
C000583,M00118,20000,2023-04-22
C000584,M00118,15000,2023-02-28
C000585,M00119,15000,2024-06-02
C000586,M00119,15000,2023-01-01
C000587,M00119,10000,2024-04-08
C000588,M00119,15000,2023-06-21
C000589,M00119,15000,2023-05-03
C000590,M00119,5000,2023-10-25
C000591,M00120,15000,2023-09-27
C000592,M00120,5000,2024-01-03
C000593,M00120,15000,2023-11-13
C000594,M00120,5000,2023-04-05
C000595,M00120,20000,2023-01-24
C000596,M00120,10000,2023-02-19
C000597,M00120,15000,2024-05-12
C000598,M00120,10000,2023-03-20
C000599,M00120,15000,2023-01-27
C000600,M00121,10000,2023-09-13
C000601,M00121,10000,2023-01-01
C000602,M00121,15000,2024-03-21
C000603,M00121,10000,2023-08-24
C000604,M00121,10000,2023-12-15
C000605,M00121,10000,2023-03-23
C000606,M00121,15000,2024-04-21
C000607,M00122,5000,2023-04-04
C000608,M00122,5000,2023-12-06
C000609,M00122,5000,2024-03-20
C000610,M00122,15000,2023-01-22
C000611,M00122,20000,2024-04-29
C000612,M00123,5000,2023-05-12
C000613,M00123,10000,2024-04-26
C000614,M00123,5000,2024-01-25
C000615,M00123,5000,2023-11-21
C000616,M00124,5000,2024-03-01
C000617,M00124,15000,2023-09-22
C000618,M00124,20000,2023-12-08
C000619,M00125,10000,2023-05-05
C000620,M00125,15000,2023-10-10
C000621,M00125,20000,2023-02-28
C000622,M00125,20000,2023-06-10
C000623,M00125,5000,2023-04-16
C000624,M00125,20000,2024-03-14
C000625,M00125,20000,2023-11-14
C000626,M00125,20000,2024-04-16
C000627,M00126,15000,2023-07-01
C000628,M00126,20000,2023-03-12
C000629,M00126,10000,2023-05-26
C000630,M00126,10000,2023-10-23
C000631,M00126,10000,2024-04-14
C000632,M00126,20000,2023-07-12
C000633,M00126,5000,2024-05-08
C000634,M00127,15000,2023-10-25
C000635,M00127,20000,2023-07-17
C000636,M00127,20000,2024-06-15
C000637,M00127,10000,2024-02-15
C000638,M00128,5000,2023-10-13
C000639,M00128,15000,2024-06-17
C000640,M00128,10000,2023-07-31
C000641,M00128,15000,2024-02-17
C000642,M00128,10000,2024-02-29
C000643,M00129,5000,2023-05-02
C000644,M00129,10000,2023-10-21
C000645,M00130,5000,2023-04-24
C000646,M00130,10000,2024-04-21
C000647,M00130,15000,2023-11-17
C000648,M00130,5000,2023-08-07
C000649,M00130,20000,2024-06-11
C000650,M00130,10000,2023-03-02
C000651,M00131,5000,2023-06-20
C000652,M00131,15000,2024-06-18
C000653,M00132,10000,2024-03-27
C000654,M00132,15000,2023-01-16
C000655,M00132,10000,2023-01-02
C000656,M00133,10000,2023-02-27
C000657,M00133,10000,2023-07-30
C000658,M00133,5000,2023-02-14
C000659,M00133,15000,2023-10-06
C000660,M00133,5000,2024-02-14
C000661,M00133,15000,2024-01-26
C000662,M00134,5000,2023-08-07
C000663,M00134,5000,2023-03-10
C000664,M00134,15000,2023-05-10
C000665,M00135,10000,2024-05-29
C000666,M00135,15000,2023-02-01
C000667,M00135,15000,2023-02-12
C000668,M00135,5000,2023-01-01
C000669,M00135,20000,2023-09-27
C000670,M00135,15000,2024-06-01
C000671,M00135,15000,2023-01-10
C000672,M00135,10000,2023-03-31
C000673,M00135,20000,2023-05-06
C000674,M00136,20000,2023-02-25
C000675,M00136,15000,2023-02-01
C000676,M00137,15000,2023-01-13
C000677,M00137,20000,2023-08-03
C000678,M00137,15000,2024-05-26
C000679,M00137,5000,2023-03-15
C000680,M00137,20000,2023-04-11
C000681,M00137,5000,2024-03-02
C000682,M00138,5000,2023-04-30
C000683,M00138,5000,2023-08-17
C000684,M00140,10000,2024-01-03
C000685,M00140,10000,2023-06-17
C000686,M00140,5000,2023-12-07
C000687,M00140,10000,2023-06-01
C000688,M00141,10000,2023-03-14
C000689,M00141,5000,2024-03-08
C000690,M00141,10000,2023-05-12
C000691,M00141,20000,2024-02-08
C000692,M00142,15000,2023-09-04
C000693,M00142,5000,2024-06-21
C000694,M00142,10000,2023-06-03
C000695,M00143,20000,2023-06-26
C000696,M00143,15000,2023-02-18
C000697,M00143,20000,2023-12-21
C000698,M00143,20000,2023-11-04
C000699,M00143,10000,2023-02-15
C000700,M00143,5000,2024-02-12
C000701,M00144,20000,2023-04-28
C000702,M00144,10000,2023-05-24
C000703,M00145,15000,2023-11-30
C000704,M00145,10000,2023-06-10
C000705,M00145,5000,2023-05-01
C000706,M00145,20000,2024-03-11
C000707,M00145,10000,2024-04-03
C000708,M00145,20000,2024-02-02
C000709,M00146,15000,2024-04-01
C000710,M00146,5000,2023-03-20
C000711,M00146,10000,2023-12-03
C000712,M00146,20000,2023-10-31
C000713,M00146,20000,2023-05-10
C000714,M00146,15000,2023-10-03
C000715,M00147,20000,2023-01-18
C000716,M00147,15000,2023-06-29
C000717,M00147,10000,2023-09-03
C000718,M00147,15000,2024-01-08
C000719,M00147,20000,2023-03-12
C000720,M00147,10000,2023-01-19
C000721,M00147,15000,2023-03-25
C000722,M00147,20000,2023-12-23
C000723,M00147,5000,2024-03-18
C000724,M00148,15000,2023-09-28
C000725,M00148,10000,2023-04-03
C000726,M00148,10000,2024-06-12
C000727,M00148,20000,2024-02-09
C000728,M00149,10000,2023-06-18
C000729,M00149,10000,2024-05-30
C000730,M00149,10000,2024-02-01
C000731,M00149,5000,2023-04-16
C000732,M00149,5000,2023-08-02
C000733,M00149,10000,2023-05-12
C000734,M00149,15000,2023-07-16
C000735,M00149,5000,2023-01-12
C000736,M00149,10000,2023-11-26
C000737,M00150,20000,2023-01-02
C000738,M00150,20000,2023-11-05
C000739,M00150,5000,2024-06-05
C000740,M00151,20000,2024-06-09
C000741,M00151,10000,2024-03-13
C000742,M00151,10000,2023-08-24
C000743,M00152,10000,2023-10-21
C000744,M00152,20000,2023-03-27
C000745,M00152,10000,2024-01-10
C000746,M00152,10000,2024-01-13
C000747,M00153,15000,2024-01-17
C000748,M00153,10000,2024-03-18
C000749,M00153,20000,2023-12-18
C000750,M00153,15000,2023-10-25
C000751,M00153,5000,2023-04-20
C000752,M00153,10000,2023-06-29
C000753,M00154,20000,2023-02-26
C000754,M00154,10000,2023-08-20
C000755,M00155,10000,2023-08-17
C000756,M00155,10000,2024-03-10
C000757,M00155,10000,2024-02-06
C000758,M00155,20000,2023-03-29
C000759,M00155,10000,2023-11-05
C000760,M00156,15000,2023-10-06
C000761,M00156,20000,2023-11-06
C000762,M00156,20000,2023-05-20
C000763,M00156,5000,2024-06-13
C000764,M00156,5000,2023-04-22
C000765,M00156,10000,2024-02-14
C000766,M00156,5000,2023-07-01
C000767,M00156,5000,2023-12-05
C000768,M00156,10000,2023-09-16
C000769,M00157,10000,2023-10-09
C000770,M00157,20000,2023-03-29
C000771,M00157,15000,2023-01-16
C000772,M00157,20000,2023-09-11
C000773,M00157,20000,2023-11-25
C000774,M00157,5000,2024-02-01
C000775,M00157,10000,2024-04-03
C000776,M00157,5000,2023-06-18
